"gene name" "logFC"	"P.Value"	"adj.P.Val"
"GSTA4"	2.05618837612355	0.000118416689332919	0.00052540220412761
"ALG12"	1.67114479293655	0.000119028779629131	0.000527386518052063
"SLX4"	1.56841470472337	0.000119782037546271	0.000529989955892835
"CFDP1"	1.78829785229218	0.000120246990132771	0.000531312322423666
"EIF3M"	1.87398464838806	0.000120614481023409	0.000531728843373186
"TARDBP"	1.65744410192612	0.000120673691869001	0.000531728843373186
"RRP15"	1.96007322510403	0.000121468820689987	0.000534496227492806
"LLPH"	1.81161746346415	0.000121762106677357	0.000535050795688003
"LHX2"	2.42273356500091	0.000122497364146155	0.000537170544271956
"SNTA1"	-2.15460875418562	0.000122585077721313	0.000537170544271956
"USP22"	1.48846268096213	0.000122748255036824	0.000537170544271956
"LRRTM2"	2.45923532136374	0.000123140170317449	0.000537309981114529
"ELOVL2"	2.76828919933007	0.000123299991760597	0.000537309981114529
"HCFC1"	1.63506848387121	0.000123317835698809	0.000537309981114529
"POLB"	2.63356611095391	0.000123451965026314	0.000537309981114529
"PARM1"	-2.32684502556818	0.000123760388352281	0.000537920492308353
"LINC00265"	1.54095093588051	0.000124748938449038	0.000541481484529814
"RAB8B"	2.68907448465694	0.000124968950971434	0.000541701455498125
"SDHAP1"	2.03499368110544	0.000125841374538107	0.000544745002905826
"MAP1A"	-2.45211926513711	0.000126435315641067	0.000546576452345638
"FSCN1"	1.4957032170913	0.000128487822025472	0.000554699787664623
"CEP295"	2.03989697039164	0.000128879708671986	0.000555641762859412
"TNKS1BP1"	1.57057900452524	0.000129449099155249	0.000556826382779334
"RNF20"	1.57674543616687	0.000129502603559808	0.000556826382779334
"ACTR8"	2.24004349407709	0.000130469430140522	0.000560230479220844
"TNKS"	2.22863177101767	0.000131630585174462	0.000564458769400944
"DLL1"	2.45083428165507	0.000132952118358583	0.00056839125069865
"CTXN1"	-1.53824201178649	0.000133056171182653	0.00056839125069865
"DLX6-AS1"	5.06249109120364	0.00013308066482441	0.00056839125069865
"ZZEF1"	1.52753328700019	0.000134031924319462	0.000571690834530613
"ZNF737"	3.13531775534353	0.000134775534810886	0.000574097118322271
"IGF2R"	1.52863772014303	0.000135655351227808	0.00057707642098106
"TSR1"	1.44918799203869	0.000137896462170758	0.000585831052435928
"WDR1"	1.66165673787676	0.000138624743044786	0.000587416594088794
"BICD2"	1.84559342233451	0.000138636926707421	0.000587416594088794
"ZC3H6"	2.15033596684911	0.000138835725064529	0.00058748079957861
"IWS1"	1.83111515824192	0.000139232271588593	0.000588076647944873
"RPS20"	2.71130806588844	0.000139344201044768	0.000588076647944873
"CDAN1"	1.72312791724603	0.000140686035402202	0.000592282627476695
"CENPT"	1.50548431274597	0.000140711096243291	0.000592282627476695
"WDR55"	1.4965926122383	0.000142806845116577	0.000600314188604375
"POLR3A"	1.56372399178398	0.000144861633141667	0.00060815270921285
"MPPED2"	2.69132232544552	0.00014562128878924	0.000610439713399765
"EDC4"	1.43643640882896	0.000145788040336799	0.000610439713399765
"PRPF6"	1.57320433071048	0.000146775919543609	0.000613772766823535
"SF3B1"	2.12580183207807	0.000147071482034334	0.000614205836850958
"COIL"	1.97979862772983	0.000147992933197601	0.000617248231159223
"KLHL17"	1.73651759444198	0.000149183056712042	0.000621401820861747
"TMEM184C"	1.78767130816297	0.000149452802402952	0.000621715884118394
"HDAC4"	1.59521089907906	0.000150248373695166	0.000624213697988099
"ADNP2"	1.60746786236546	0.000150565552902364	0.000624720108605269
"NCL"	1.59424591536996	0.000151055669326673	0.000625941821471538
"UTP25"	1.84715772254206	0.000151720696859835	0.000627545517411251
"ILKAP"	1.66367329843631	0.000151835020467742	0.000627545517411251
"WDR90"	2.02782858013385	0.000152845251118072	0.000630905752679628
"OST4"	1.65473805840333	0.000153890740898897	0.000634230485512533
"SYNJ2BP"	1.82549876327839	0.000154047229522738	0.000634230485512533
"RTF1"	2.10467758501641	0.000155893409725465	0.000641006449500981
"ZNF780B"	2.28591260451378	0.000156265941454428	0.000641713410414269
"MBD5"	2.04880991662546	0.000157413116716891	0.000645595590227353
"HECTD4"	1.9242463484906	0.000157843148394036	0.000646530386315647
"AKR1C1"	3.03434169837753	0.000160173895044692	0.000654927642446498
"GIGYF1"	1.8244822497262	0.000160302702105535	0.000654927642446498
"SOX1"	3.08621233712423	0.000161336844866218	0.000658311947355908
"LSM14B"	1.45147857644841	0.000161716509867449	0.00065874860122169
"IPO9"	1.76068829220373	0.000162016629960556	0.00065874860122169
"CAMK1G"	-3.38745525994868	0.000162061628371826	0.00065874860122169
"CKAP4"	1.65039417852382	0.000163276557737541	0.000662844807363444
"HEATR6"	1.73619653838722	0.000164471850111088	0.000666851012047362
"LOC155060"	1.43553650124009	0.000166104280469443	0.00067261720660981
"CXCL14"	-2.93537398315974	0.000166863675120622	0.000674838048939153
"UBE2R2"	1.60183464001987	0.000168580550194665	0.000680920681910016
"GRK5"	1.50528523407434	0.000169090096433176	0.000682117551689444
"FSTL1"	2.61535447908943	0.000169392969119976	0.000682478725711338
"CHTF18"	2.21377261580935	0.000169834684082996	0.000683143599082104
"FZD4"	2.40420224558519	0.00016998509061249	0.000683143599082104
"HEATR5B"	1.99892284966037	0.00017068545144735	0.000684283976438921
"ARMH3"	1.56299327388788	0.000170899231081543	0.000684283976438921
"STMP1"	2.4875396349038	0.00017091056491863	0.000684283976438921
"LIN7C"	2.72008647069497	0.000172176242460502	0.000687543925535224
"FBXW2"	2.18291120554191	0.000172277715232466	0.000687543925535224
"RPL7L1"	2.0210680298739	0.000172418771162761	0.000687543925535224
"SOS2"	2.26988549621212	0.000172584486466016	0.000687543925535224
"PRKD3"	2.37987364492127	0.000173702146236338	0.000690850692530725
"ETV3"	1.47043051635921	0.000173846454356747	0.000690850692530725
"GRPEL2"	2.49073880658946	0.000175466687060327	0.000696355707817092
"PM20D2"	2.21737458959648	0.000175667101034196	0.000696355707817092
"EPM2AIP1"	2.01683932027138	0.000176428492465523	0.000698295008051228
"ZNF470"	1.95143360636583	0.000176592892001702	0.000698295008051228
"COX19"	1.49745969078248	0.00017732877143297	0.000700339184955645
"C3orf80"	-2.00600674553813	0.000177846020648061	0.000701515931014976
"USF3"	2.61904003732865	0.00018181608812581	0.000716292692012888
"ZCCHC3"	1.73314799997246	0.000182249261473361	0.000717116097728513
"DNAJC17"	1.61590955343825	0.000183732171582894	0.000722062920016804
"LZTR1"	1.55188864453192	0.000184002517373108	0.000722238101934443
"TRAF4"	2.68576065295587	0.000184356433144893	0.0007225106579464
"RPP14"	1.73630234378211	0.000184777058359929	0.0007225106579464
"FTSJ3"	1.69186562778862	0.000184802235205034	0.0007225106579464
"SESTD1"	2.59177965260015	0.00018521327185095	0.0007225106579464
"FAM32A"	1.58370831014633	0.000185224694064858	0.0007225106579464
"IPMK"	2.6416276619265	0.00018542708664395	0.0007225106579464
"TNC"	4.49357676174348	0.000185729989958729	0.000722810508367365
"ZNF316"	1.51644833247098	0.000186976878800941	0.000726778900709853
"OMG"	-3.14313227281075	0.000188294361824054	0.000731011727518384
"SRSF4"	1.4780845406169	0.000189175788667525	0.000733543452057471
"KLF12"	2.77817298624059	0.00019122589956652	0.000740029873327883
"EXT1"	1.57647187354683	0.000191311255155411	0.000740029873327883
"NELL2"	2.79443735756155	0.000192593828950538	0.000744091375377743
"KBTBD6"	2.41340360317221	0.0001928914020831	0.000744168027415534
"MAP2K1"	-1.72712396014743	0.000193078919273177	0.000744168027415534
"HCFC2"	2.68373348626933	0.000193602835999809	0.000745289377091925
"NOP58"	1.85212673538819	0.000194188110570307	0.000746643949175975
"RASGRF2"	-3.13739871055749	0.000195210763010172	0.000749674947022259
"MVD"	1.78601042693372	0.000195756246349492	0.000750868383779405
"SF3A2"	2.02181395747554	0.00019757178141224	0.000756924705075158
"ST8SIA4"	3.50989340701482	0.000198267896965937	0.000758683017217743
"PINK1"	-1.81759838554509	0.000198525625758891	0.000758761621030697
"ERH"	1.66542622064504	0.000199599375897175	0.000761955135435636
"HERPUD2"	1.62349184070013	0.000200944305934353	0.000766175011542308
"PPP1R15A"	1.58139608361163	0.00020337130202197	0.000774505708533669
"CDC23"	1.58040838851325	0.000206037711994013	0.00078372727784643
"SKI"	1.46368243133757	0.000207081656432775	0.000786762730318821
"MARCHF5"	1.9622323351193	0.000208448981408234	0.000791018139412742
"SEC63"	1.77504606012164	0.000208742000930524	0.000791191541441643
"OSGEP"	1.85213680543621	0.000210114497452278	0.000795451215798623
"LETM1"	1.35472577753265	0.000211430329213405	0.000799486552191113
"SAMD1"	1.52210107522885	0.00021226475886617	0.00080169417191603
"PTP4A1"	2.65916719941072	0.000213614162294728	0.0008058392749774
"PCSK7"	1.38935998927343	0.000214171180000286	0.000806988933829111
"LSG1"	1.40683510345624	0.000214680250466333	0.000807955436755059
"KLHL18"	1.73594089010185	0.000215439090551904	0.000809858578937181
"KBTBD2"	1.84771312564977	0.000216329198976295	0.000812250126203249
"OPHN1"	1.84171138764968	0.000216989707468724	0.000812891078257664
"ABRACL"	2.19685759752589	0.000217255668977798	0.000812891078257664
"CCEPR"	1.57976777273003	0.000217262229418663	0.000812891078257664
"SNRPA"	1.91058378317225	0.00021836922261511	0.000816078438254366
"SPIN3"	1.84059020359465	0.00021928998042799	0.000818455174155112
"TPRG1L"	-1.86823294501064	0.000219516892599277	0.000818455174155112
"GALNT10"	1.94003409950937	0.000222697894984169	0.0008293487381308
"DCAF13"	2.34377205768396	0.000225058409430051	0.000837033443452606
"SDE2"	1.73424672426805	0.000225284712351577	0.000837033443452606
"TIMP2"	1.65507382886673	0.00022663410187477	0.00084107017621507
"HOOK3"	2.11316616205568	0.000230214172682733	0.000853366324927071
"TMEM158"	1.79025238088214	0.00023070125942467	0.000854182093633703
"B4GALNT4"	1.61905257041413	0.000231056603047349	0.000854508755084937
"YES1"	2.22279679245746	0.000231808040682446	0.000856297831574071
"USP34"	2.25501165449281	0.000232884087900744	0.000859280504261221
"NNT-AS1"	1.86412757590924	0.000233327268826718	0.000859293015414234
"RPL3"	1.49263861661821	0.000233424704718653	0.000859293015414234
"SREK1IP1"	2.40274208451686	0.000234944608606124	0.00086389402635746
"TOX"	1.91709746969586	0.000235381907446744	0.000864104101612178
"VGF"	-3.55520974507883	0.000235541974556367	0.000864104101612178
"RLF"	2.17297691491463	0.000236182479146941	0.000865461341112332
"MED14"	1.72095265528112	0.000237224276062664	0.000867671045147697
"INTU"	2.41594341256799	0.000237327966397072	0.000867671045147697
"SEC31B"	1.44575509115259	0.000237976145968752	0.000868104192365403
"LINC02035"	1.8366224463341	0.000237989176837905	0.000868104192365403
"C16orf72"	2.01846570400019	0.000238338077115851	0.000868386684161283
"CPNE3"	2.50874156448838	0.000238737373297558	0.000868851942183037
"NKAIN3"	2.39546626036222	0.000240361719616329	0.000872025564517496
"GPM6A"	2.86045363710665	0.000240600173544065	0.000872025564517496
"ERP44"	1.93736655970387	0.000240615196872875	0.000872025564517496
"MVB12B"	1.67951346432392	0.000241031996490668	0.000872025564517496
"BDP1"	2.45255259859093	0.000241204846855246	0.000872025564517496
"SRP19"	1.83164088808636	0.000241244959236631	0.000872025564517496
"MRPL44"	1.67301023104647	0.000241937646113927	0.000873542358824438
"HUWE1"	1.6271207427237	0.000242704649875428	0.000875323759810026
"PFDN5"	1.68948908388472	0.000244224436154298	0.000879813030695496
"ZNF585B"	1.65606622492393	0.00024549248936711	0.000882601285835076
"ANKLE2"	1.3481397032965	0.000245632520153286	0.000882601285835076
"YJU2"	1.3576625063234	0.000245826116186012	0.000882601285835076
"RPL21"	3.41945892055764	0.000246299695389235	0.0008833102304374
"PLXNA1"	1.70428601759872	0.000247739147699029	0.000887477641085323
"METTL14"	1.76218637742106	0.000248987958172571	0.000890953555026906
"ZNF365"	-3.30485435219481	0.00025033419582642	0.00089476993569689
"ADAM17"	1.88582476701572	0.000250849240488856	0.00089482938309643
"KIAA2026"	1.95455063944398	0.000250910270908877	0.00089482938309643
"OBI1"	2.83280271740185	0.000251859967602898	0.000897026000145325
"EPB41L4A-AS1"	1.44756752553084	0.000252087019109299	0.000897026000145325
"DLGAP3"	-2.38742810607182	0.000253961757362685	0.000902537309072623
"PSME4"	1.83322244518112	0.000254200098616578	0.000902537309072623
"PRRC2C"	1.78089469765671	0.000255603500970451	0.000906513968519371
"C1orf174"	1.44473744644262	0.000257372903431854	0.000911755038732804
"NAA16"	2.43268908198054	0.000257651314477792	0.000911755038732804
"UBA6"	2.53529399615171	0.000258837524390082	0.000914940597263948
"TMEM185B"	1.34857362855166	0.000260857379879714	0.000921062647058725
"BLMH"	1.68384793186059	0.000261625483392382	0.000922756252891102
"QRSL1"	1.91402667923799	0.000263388000235445	0.000927949573516727
"ELFN2"	1.79220985533306	0.000264820391911963	0.000931969674066413
"OSTF1"	-1.63288321960154	0.000265257421733236	0.000932481859477606
"SNRNP48"	2.12803007483737	0.00026664742077808	0.000933827053780739
"CALR"	1.48009162339068	0.000266690228598499	0.000933827053780739
"ACTB"	1.31736056854571	0.000266699077942319	0.000933827053780739
"DNAJC14"	1.32521197273095	0.00026680772965164	0.000933827053780739
"DTD1"	2.00451237534789	0.000269164418208013	0.000940194051463297
"ZNF830"	1.42968213643462	0.000269214676817874	0.000940194051463297
"TIGD7"	2.00558629852052	0.000269553129933744	0.00094034946854749
"LSM11"	2.4953034694655	0.000270182110667089	0.000941516962989125
"ERO1B"	2.06032672795751	0.000272033166971739	0.000946935909839602
"TMEM163"	1.48156075754427	0.000272982983754672	0.000949209309816516
"GPR27"	1.7525126706924	0.000273336991792971	0.000949408291797734
"AKAP8"	1.35572991242549	0.000273839216853488	0.000950121100557819
"CHD7"	2.95804565148884	0.000274971062087787	0.000953014547799383
"WDR33"	1.62342106841517	0.000279903103038691	0.000968718861044527
"PTPN9"	1.55443655432529	0.000280528279682306	0.000968718861044527
"SEC22C"	1.54578676205991	0.000280668046473639	0.000968718861044527
"CEP290"	2.30077796722395	0.000280790322023654	0.000968718861044527
"TTLL4"	1.87896362703589	0.000281289827294443	0.000968718861044527
"ERGIC1"	1.31304365643616	0.000281319106567792	0.000968718861044527
"STT3B"	2.34472896125145	0.00028234008355419	0.000971189169128874
"GSPT2"	1.73045169943812	0.000283385794198495	0.000973739157509115
"CDC5L"	1.80732501869089	0.000285177347153116	0.000977897200200531
"BTG1"	2.59742950167953	0.000285228828496422	0.000977897200200531
"NAA15"	2.19846534807663	0.000285736585516	0.000977897200200531
"ARL3"	1.55417118875871	0.000285818656513753	0.000977897200200531
"AFF4"	2.49081796696333	0.000286361964881596	0.000978709322282293
"RUNDC3A"	-1.6896218975706	0.000287652856979394	0.000982072027190056
"ZDHHC8P1"	1.8612916732964	0.000290968742884409	0.000990791268667812
"KIF5B"	1.78919612713328	0.000290998255969952	0.000990791268667812
"TBCD"	1.26589234552723	0.000291135915144652	0.000990791268667812
"POLR2G"	1.85429220101694	0.000292931284612516	0.000995841848539254
"PDAP1"	1.41968211612892	0.000293856413944831	0.000997494832114191
"RGP1"	1.50206569299011	0.000294261086440923	0.000997494832114191
"NUDT11"	1.96284014630948	0.000294352960773928	0.000997494832114191
"MRPS16"	1.48958905652741	0.000297841950861722	0.00100825015958375
"ICE1"	1.98274918229782	0.000300400124939069	0.00101545827504998
"DPYSL4"	1.47412070464157	0.000300763215424367	0.00101545827504998
"SERINC5"	2.05780154645364	0.000300923552593743	0.00101545827504998
"FOXK2"	1.30746074358959	0.000303162430000949	0.00102074962192294
"SPRYD3"	-1.73561211865701	0.000303260107722292	0.00102074962192294
"ADCY1"	2.28747864397116	0.000303448856032735	0.00102074962192294
"ESCO1"	2.12186390577046	0.000304870845204163	0.00102445570778164
"HIVEP1"	1.69536828850653	0.000307479455226842	0.00103213722693669
"SCARB2"	1.77250008166701	0.000308243274904187	0.00103361660001939
"KLF9"	-2.68769095229451	0.000310918145216349	0.00104149439429016
"FASN"	1.65151218789695	0.000311883136973099	0.00104363405353237
"FAM171A2"	1.34054857988737	0.000312966753115437	0.00104573277165666
"PDS5A"	1.99255136445764	0.000313164112299807	0.00104573277165666
"ZNF10"	1.91689295256392	0.000318280537688677	0.00106170953083011
"PA2G4"	1.52178052213335	0.000319233435521032	0.00106377891690811
"SYNGR1"	-1.35818950122176	0.000321510341790693	0.00107025138750096
"HUNK"	2.48191070686259	0.000322661327190085	0.00107252368728897
"PRPF39"	2.15285204209384	0.000322863491984769	0.00107252368728897
"ACBD6"	1.4203851215259	0.000323970525010789	0.0010741905462626
"SLC5A3"	2.45037209897421	0.000324091754299746	0.0010741905462626
"SHANK3"	-1.36948936773465	0.000324372637602273	0.0010741905462626
"MPHOSPH10"	1.79627426160522	0.00032682474971751	0.00108119170046154
"ZC3H8"	1.6411154433551	0.00032952220182192	0.00108898917730198
"ARC"	-1.71010302032439	0.000330834980051001	0.00109219927882678
"PIP4K2B"	1.57801189142764	0.000331250314410584	0.00109244304721594
"RALA"	2.21589851260669	0.00033205668459055	0.00109397459732767
"PAGR1"	1.83067697664328	0.000332590593463145	0.00109460628445329
"CCDC177"	1.5192771110647	0.000333888915687007	0.00109742571454193
"TNKS2"	2.33039602183059	0.00033413336854137	0.00109742571454193
"HIRIP3"	1.73408654991224	0.00033590074977368	0.00110127761958406
"P3H3"	1.46343157858913	0.000335994672308236	0.00110127761958406
"METTL2A"	2.09058766234829	0.000338696356458958	0.00110899656531444
"ARL4D"	1.45153335592983	0.000339564287817512	0.00111012768644576
"CYB5R4"	2.24209368409219	0.000339735856527164	0.00111012768644576
"PDK3"	-2.68394323528398	0.000342207303224977	0.00111706241124153
"GPN2"	1.38899898092735	0.000344222217730629	0.00112091295007988
"TOMM22"	1.38726796064656	0.000344243447088688	0.00112091295007988
"DVL2"	1.67703519402981	0.000344438083753837	0.00112091295007988
"PAG1"	2.65418628274422	0.00034583861154493	0.00112432694952462
"RBBP9"	2.14450305092693	0.000348489612704952	0.00113179519902857
"GGA2"	1.33813224600465	0.000351274514661949	0.00113968273063243
"PDRG1"	1.5746531776727	0.000351967889679314	0.00114005740266243
"SLC16A14"	1.89894654189045	0.000352458874413034	0.00114005740266243
"ZXDB"	2.01353019210101	0.000352459134489886	0.00114005740266243
"NBEA"	3.68667706239622	0.00035536187891807	0.00114795495122772
"TEX261"	1.55320599063054	0.00035561842971762	0.00114795495122772
"EPAS1"	-1.72013118317559	0.000356484851653466	0.00114959177463653
"UBE2J1"	2.12400972713387	0.000357422260680385	0.00115145398984547
"MANF"	1.73750996160863	0.000357983912190884	0.00115210315402277
"THSD7A"	2.50841401462206	0.000358387439021461	0.00115224263058257
"DNM1"	-1.37748870308467	0.000358850082463603	0.00115257170060348
"TCEANC2"	1.47371362492676	0.00035961678449415	0.00115387572075906
"LINC00205"	2.70772036603473	0.000366999374949462	0.00117638376799933
"WSB1"	2.55486242402801	0.000368125855253218	0.00117881342437942
"DVL3"	1.45163303850929	0.000371322925887815	0.00118786203991512
"SF3B6"	2.1725922429137	0.000373846319610075	0.00119316902196623
"NIPBL-DT"	2.10218011940084	0.000373897284988583	0.00119316902196623
"RBM25"	1.71767700495383	0.000374100821829363	0.00119316902196623
"FEM1C"	2.29329205962796	0.000374681300101163	0.00119383015839006
"GRAMD4"	1.29869048940364	0.000376940796792616	0.0011998344367558
"COG3"	1.9808811037677	0.000377600324555712	0.00120073900422835
"ARMCX1"	1.73454649983898	0.00037874289359741	0.00120317628263964
"SEPTIN8"	-2.04796369641335	0.000380769201949465	0.00120841337007573
"ACBD3"	1.60143776487523	0.000382946981515038	0.001214120311067
"CROCCP2"	1.67825939460482	0.000384531103300643	0.00121793564302847
"ARHGAP35"	1.50699319645101	0.000388305990274917	0.00122867543312508
"PTGDS"	-3.35718326323283	0.00038939925434944	0.00123079331239937
"EPRS1"	1.7989634596045	0.000389744803207427	0.00123079331239937
"SHISA9"	2.12416923348303	0.000390835087842335	0.00123301917752232
"HERC1"	1.59476367078988	0.000392100710242147	0.00123579327297008
"TMEM131"	1.62300784013481	0.000393700942699032	0.00123961546820296
"SRSF12"	2.26343526888082	0.000395078111050808	0.00124079418509099
"HEATR5A"	1.85808942510164	0.000395105302025814	0.00124079418509099
"JMY"	1.93731558997716	0.000395484905381765	0.00124079418509099
"GNAZ"	1.6045411372739	0.00039562677986646	0.00124079418509099
"ZCCHC24"	-1.81324196031707	0.000397533930104598	0.00124555440000452
"HIVEP2"	2.16167727356934	0.000403738976714408	0.0012622233342097
"TRMT12"	1.38514478983243	0.000403912671484991	0.0012622233342097
"DONSON"	2.39360896534471	0.000404037728737333	0.0012622233342097
"CEP192"	1.73448699654232	0.000406957368303831	0.00127010402068679
"ZNF804A"	2.12736854637791	0.000408764515754727	0.00127450066851791
"UBFD1"	1.6447943160404	0.000409849755911292	0.00127664008681619
"DTX1"	1.42187935450957	0.000410289040437531	0.00127676521435765
"NPTN-IT1"	1.96659486826694	0.000410986778768311	0.00127769359113686
"PDXDC2P-NPIPB14P"	1.75652251664684	0.000411512831772328	0.00127808694062105
"CDKN1B"	1.65548018433666	0.00041414822269764	0.00128502440776892
"ZDHHC18"	1.30802107927806	0.000415175038283541	0.00128696215840024
"WDFY3"	1.82627073134325	0.000418083135531894	0.00129472212058715
"TTC17"	1.76278007035046	0.000421966363245144	0.00130457665169445
"KNDC1"	-1.85308835968656	0.000422080911067132	0.00130457665169445
"ZC3H12C"	2.32506559437879	0.000426968848948324	0.0013184105673607
"SIPA1L3"	1.30029155017993	0.000428183516586415	0.00132088627729985
"N4BP2L2"	2.54528100187663	0.000429951295658772	0.00132506184471331
"CLK1"	2.28588925684238	0.000431187602423535	0.00132759301265918
"BOD1L1"	1.74593589878013	0.000434468454766801	0.0013364082565375
"CHERP"	1.47774443192797	0.000435176622525507	0.00133730068728059
"RASL11B"	1.91864797965973	0.000436241270938859	0.00133928582124128
"TSPYL5"	1.47192752676467	0.000437080206447583	0.00134057486138621
"CASC3"	1.50143766036623	0.000438211799106021	0.00134275818519172
"ZNF592"	1.21763631105347	0.000441502839938572	0.00135071875751705
"PCNX3"	1.24939227272943	0.000441654210804261	0.00135071875751705
"ZNF252P"	1.64994056979763	0.000445805362192318	0.00136211208562868
"FADS1"	1.96695124759687	0.000446644356645698	0.00136337337491373
"OTUD3"	1.32200837874561	0.00044779815945677	0.00136559228989724
"XKR4"	2.88347015361134	0.000451675496027811	0.00137610467789807
"SLC48A1"	-1.6410593862281	0.000454205956065666	0.00138249748187827
"BEND3P3"	2.54773117598526	0.000458506047413744	0.00139425935900814
"WIPF3"	1.28580208372651	0.000460339554001823	0.0013985054446836
"CSNK2A2"	1.29348811052358	0.000461764603308435	0.00140150376279287
"TAB3"	2.06357087860581	0.000463704327761192	0.00140530001820329
"RPS7"	2.26647746394516	0.000463893972873609	0.00140530001820329
"DDX18"	1.78170983982855	0.000465034648125699	0.00140742274300294
"PCIF1"	1.36801515082195	0.000468558934308515	0.00141547216594116
"HSBP1"	2.02477538000895	0.000469028901965777	0.00141547216594116
"ZNF263"	1.31728954571085	0.000469347071340621	0.00141547216594116
"CD2AP"	2.21521071401023	0.000469464197581609	0.00141547216594116
"VIM"	2.34069651155244	0.000470134540661622	0.001416158564573
"MSH3"	1.41568318114962	0.000472519842553727	0.00142146708854003
"DR1"	1.69841397273761	0.000473372478204701	0.00142146708854003
"KATNIP"	1.18080099379885	0.000473669634287449	0.00142146708854003
"CEP104"	1.36363331265349	0.000473674247072109	0.00142146708854003
"RPS26"	2.28469759690442	0.000474994175810517	0.00142409219158186
"CHD6"	1.65170256946603	0.000475845191904471	0.00142530783605094
"ITPKB"	-2.36116883106264	0.000477508708662728	0.00142895262770072
"LGALSL"	2.18383996239243	0.000478748095145997	0.00143132257604864
"FAM20C"	1.21571252861944	0.000480929733790833	0.00143650253818569
"NSUN3"	2.01816591885345	0.000482146767519855	0.00143858438747271
"ARL5B"	2.84522589988358	0.000482526116835956	0.00143858438747271
"SEPTIN3"	1.64703312911626	0.000483374887143972	0.00143977305770351
"DYNC2I2"	1.56031069755297	0.000486757577557095	0.0014484999912606
"CNNM4"	1.31964940254653	0.000490432841087335	0.00145808053776802
"STAM2"	1.90426946506069	0.000491071438152153	0.00145862351963671
"PIGU"	1.75932122585614	0.000494907335645588	0.00146865358694827
"PKD1P6-NPIPP1"	1.43180720614473	0.000495839982381283	0.00147005755666147
"SLC25A23"	-1.52738331016161	0.000496466731418859	0.00147055284611938
"MAPK1IP1L"	1.54100000166091	0.000497085751517513	0.00147102434699771
"MFAP1"	1.42491880881222	0.000504018947631491	0.00148971999693071
"BMT2"	2.69845739871894	0.000504474381394373	0.00148971999693071
"PRKAR2B"	2.31537297355854	0.000505027993442277	0.00148971999693071
"ARRDC4"	1.93116262910902	0.00050526608210998	0.00148971999693071
"SDK2"	2.56750259084078	0.000506517253264564	0.00149120299364288
"AKIRIN2"	1.46886456011843	0.000506701361078404	0.00149120299364288
"AGPAT5"	2.18380857234645	0.000507210500245744	0.00149132940283652
"ZNF516"	1.69986689572603	0.000508388704851113	0.00149342099799698
"YWHAQ"	1.96844623253519	0.00051285184913376	0.00150514960126504
"ZNF791"	1.90588129166586	0.000514218785514953	0.00150777808878308
"SHPK"	1.651219570957	0.000520527785763998	0.00152487947496248
"TTLL5"	1.43901507931036	0.000521250382387574	0.00152559924360279
"B3GALT6"	1.27152706379545	0.000525853715428785	0.00153766548049057
"EGR1"	-1.8957470226443	0.000529728681011371	0.00154758178132911
"RAP2B"	2.09181439398861	0.000532749629312649	0.0015549872848277
"PPIL4"	1.83304054227261	0.000534151238864257	0.00155765707668802
"ABCA1"	2.68399854614364	0.000535987261526818	0.00156158765903852
"DNMT3A"	1.25068452923186	0.000540337186309278	0.00157282862511681
"TRIB2"	1.9544403915768	0.000541843903324127	0.00157578058793989
"KREMEN1"	1.39182411795938	0.000545610082918955	0.00158529214828132
"LHFPL2"	1.94068876849642	0.000546301871618177	0.00158570349660426
"ADPRS"	1.36038417952227	0.000546743031183024	0.00158570349660426
"MLLT11"	1.91061964563361	0.000551807148954471	0.00159894118614615
"RNF5P1"	1.41772837257958	0.0005532996884579	0.00160181511617812
"RNF213"	1.37945365487442	0.000554503056093282	0.00160384744705462
"FAM161B"	1.29614853089385	0.000555739015541013	0.00160597028971608
"H2BC21"	2.24713558126284	0.000556650216115236	0.00160715166187061
"UTP23"	1.78473943816325	0.000557998205320911	0.00160959085556501
"NYAP2"	3.23238569788697	0.000564333386127644	0.00162639865065075
"URB1"	1.43707171570025	0.000565399396773175	0.00162712242420768
"SUDS3"	1.25080206374909	0.000565601792972471	0.00162712242420768
"HDGFL3"	1.86040384790671	0.000567570394221476	0.00163131868024663
"DNAJA1"	1.87282697414135	0.000570132717792185	0.00163721235567073
"DHX37"	1.21633777549781	0.000572791914171347	0.00164337339321447
"ZNF786"	1.30562701822896	0.000573736558516888	0.00164460864757663
"MYT1"	2.98973155220452	0.000575513718899293	0.00164699891162156
"RPL23AP53"	2.39185161403797	0.000575600119785214	0.00164699891162156
"WDR83OS"	1.57496520114884	0.000576531905768743	0.00164807650663475
"FEM1A"	1.15635695346256	0.000577007092038423	0.00164807650663475
"SRGAP2"	1.16989152666397	0.000582680201726592	0.00166279568717517
"BRAP"	1.46211858026607	0.000583421467875957	0.00166342716197432
"RNF150"	2.5202693155821	0.000584198098154548	0.00166415825110988
"GALNT1"	1.96714361953003	0.000589327531577826	0.00167686078278588
"CPLANE1"	2.23588938673749	0.0005897056519644	0.00167686078278588
"ZC3H7A"	1.73396883515013	0.000593992081473783	0.00168663170572166
"LRRC59"	1.29479341342024	0.000594196290199533	0.00168663170572166
"PIAS4"	1.35066055236168	0.000594783190708301	0.00168680091052824
"CAPN7"	2.04115270102198	0.000595366095387837	0.001686958493486
"ZNF277"	2.10884486605955	0.000598462268792948	0.0016935953901068
